"Area","Item","Unit","Year","Flag","Stocks"
"United States of America","Mules","Head","1964","F",22000
"United States of America","Mules","Head","1965","F",22000
"United States of America","Mules","Head","1966","F",22000
"United States of America","Mules","Head","1967","F",24000
"United States of America","Mules","Head","1968","F",24000
"United States of America","Mules","Head","1969","F",24000
"United States of America","Mules","Head","1970","F",24000
"United States of America","Mules","Head","1971","F",24000
"United States of America","Mules","Head","1972","F",25000
"United States of America","Mules","Head","1973","F",25000
"United States of America","Mules","Head","1974","F",25000
"United States of America","Mules","Head","1975","F",25000
"United States of America","Mules","Head","1976","F",25000
"United States of America","Mules","Head","1977","F",26000
"United States of America","Mules","Head","1978","F",26000
"United States of America","Mules","Head","1979","F",26000
"United States of America","Mules","Head","1980","F",26000
"United States of America","Mules","Head","1981","F",26000
"United States of America","Mules","Head","1982","F",26000
"United States of America","Mules","Head","1983","F",28000
"United States of America","Mules","Head","1984","F",28000
"United States of America","Mules","Head","1985",NA,28000
"United States of America","Mules","Head","1986","F",28000
"United States of America","Mules","Head","1987","F",28000
"United States of America","Mules","Head","1988","F",28000
"United States of America","Mules","Head","1989","F",28000
"United States of America","Mules","Head","1990","F",28000
"United States of America","Mules","Head","1991","F",28000
"United States of America","Mules","Head","1992","F",28000
"United States of America","Mules","Head","1993","F",28000
"United States of America","Mules","Head","1994","F",28000
"United States of America","Mules","Head","1995","F",28000
"United States of America","Mules","Head","1996","F",28000
"United States of America","Mules","Head","1997","F",28000
"United States of America","Mules","Head","1998","F",28000
"United States of America","Mules","Head","1999","F",28000
"United States of America","Mules","Head","2000","F",28000
"United States of America","Mules","Head","2001","F",28000
"United States of America","Mules","Head","2002","F",28000
"United States of America","Mules","Head","2003","F",28000
"United States of America","Mules","Head","2004","F",28000
"United States of America","Mules","Head","2005","F",28000
"United States of America","Mules","Head","2006","F",0
"United States of America","Mules","Head","2007","F",0
"United States of America","Mules","Head","2008","F",0
"United States of America","Mules","Head","2009","F",0
"United States of America","Mules","Head","2010","F",0
"United States of America","Mules","Head","2011","F",0
"United States of America","Mules","Head","2012","F",0
"United States of America","Mules","Head","2013","F",0
"United States of America","Mules","Head","2014","F",0
"United States of America","Mules","Head","2015","F",0
"United States of America","Mules","Head","2016","F",0
"United States of America","Mules","Head","2017","F",0
"United States of America","Mules","Head","2018","Im",295
"United States of America","Pigs","Head","1961",NA,55560000
"United States of America","Pigs","Head","1962",NA,61837008
"United States of America","Pigs","Head","1963",NA,62726000
"United States of America","Pigs","Head","1964",NA,62060000
"United States of America","Pigs","Head","1965",NA,56106000
"United States of America","Pigs","Head","1966",NA,50519008
"United States of America","Pigs","Head","1967",NA,57125008
"United States of America","Pigs","Head","1968",NA,58818000
"United States of America","Pigs","Head","1969",NA,60829008
"United States of America","Pigs","Head","1970",NA,57046000
"United States of America","Pigs","Head","1971",NA,67285008
"United States of America","Pigs","Head","1972",NA,62412000
"United States of America","Pigs","Head","1973",NA,59017008
"United States of America","Pigs","Head","1974",NA,60614000
"United States of America","Pigs","Head","1975",NA,54693008
"United States of America","Pigs","Head","1976",NA,49267008
"United States of America","Pigs","Head","1977",NA,54934000
"United States of America","Pigs","Head","1978",NA,56539008
"United States of America","Pigs","Head","1979",NA,60356000
"United States of America","Pigs","Head","1980",NA,67318000
"United States of America","Pigs","Head","1981",NA,64462000
"United States of America","Pigs","Head","1982",NA,58698000
"United States of America","Pigs","Head","1983",NA,54534000
"United States of America","Pigs","Head","1984",NA,56694000
"United States of America","Pigs","Head","1985",NA,54073008
"United States of America","Pigs","Head","1986",NA,52314000
"United States of America","Pigs","Head","1987",NA,50920000
"United States of America","Pigs","Head","1988",NA,54384000
"United States of America","Pigs","Head","1989",NA,55466000
"United States of America","Pigs","Head","1990",NA,53788000
"United States of America","Pigs","Head","1991",NA,57649000
"United States of America","Pigs","Head","1992",NA,58202000
"United States of America","Pigs","Head","1993",NA,57939600
"United States of America","Pigs","Head","1994",NA,59737500
"United States of America","Pigs","Head","1995",NA,58200500
"United States of America","Pigs","Head","1996",NA,56123800
"United States of America","Pigs","Head","1997",NA,61157700
"United States of America","Pigs","Head","1998",NA,62203500
"United States of America","Pigs","Head","1999",NA,59335300
"United States of America","Pigs","Head","2000",NA,59110300
"United States of America","Pigs","Head","2001",NA,59721600
"United States of America","Pigs","Head","2002",NA,59554200
"United States of America","Pigs","Head","2003",NA,60453200
"United States of America","Pigs","Head","2004",NA,60443700
"United States of America","Pigs","Head","2005",NA,60975000
"United States of America","Pigs","Head","2006",NA,61448900
"United States of America","Pigs","Head","2007",NA,62515800
"United States of America","Pigs","Head","2008",NA,68176800
"United States of America","Pigs","Head","2009",NA,64887200
"United States of America","Pigs","Head","2010",NA,64925000
"United States of America","Pigs","Head","2011",NA,66360800
"United States of America","Pigs","Head","2012",NA,66224000
"United States of America","Pigs","Head","2013",NA,64774600
"United States of America","Pigs","Head","2014",NA,67776300
"United States of America","Pigs","Head","2015",NA,68919300
"United States of America","Pigs","Head","2016",NA,71345400
"United States of America","Pigs","Head","2017",NA,73144900
"United States of America","Pigs","Head","2018",NA,74550200
"United States of America","Sheep","Head","1961",NA,32725008
"United States of America","Sheep","Head","1962",NA,30969008
"United States of America","Sheep","Head","1963",NA,29176000
"United States of America","Sheep","Head","1964",NA,27116000
"United States of America","Sheep","Head","1965",NA,25127008
"United States of America","Sheep","Head","1966",NA,24734000
"United States of America","Sheep","Head","1967",NA,23953008
"United States of America","Sheep","Head","1968",NA,22223008
"United States of America","Sheep","Head","1969",NA,21350000
"United States of America","Sheep","Head","1970",NA,20423008
"United States of America","Sheep","Head","1971",NA,19731008
"United States of America","Sheep","Head","1972",NA,18739008
"United States of America","Sheep","Head","1973",NA,17641008
"United States of America","Sheep","Head","1974",NA,16310000
"United States of America","Sheep","Head","1975",NA,14515000
"United States of America","Sheep","Head","1976",NA,13311000
"United States of America","Sheep","Head","1977",NA,12722100
"United States of America","Sheep","Head","1978",NA,12421000
"United States of America","Sheep","Head","1979",NA,12365300
"United States of America","Sheep","Head","1980",NA,12699000
"United States of America","Sheep","Head","1981",NA,12947000
"United States of America","Sheep","Head","1982",NA,12997000
"United States of America","Sheep","Head","1983",NA,12140000
"United States of America","Sheep","Head","1984",NA,11559000
"United States of America","Sheep","Head","1985",NA,10716000
"United States of America","Sheep","Head","1986",NA,10145000
"United States of America","Sheep","Head","1987",NA,10389000
"United States of America","Sheep","Head","1988",NA,10945000
"United States of America","Sheep","Head","1989",NA,10853000
"United States of America","Sheep","Head","1990",NA,11358000
"United States of America","Sheep","Head","1991",NA,11174000
"United States of America","Sheep","Head","1992",NA,10797000
"United States of America","Sheep","Head","1993",NA,10201000
"United States of America","Sheep","Head","1994",NA,9836000
"United States of America","Sheep","Head","1995",NA,8989000
"United States of America","Sheep","Head","1996",NA,8465000
"United States of America","Sheep","Head","1997",NA,8024000
"United States of America","Sheep","Head","1998",NA,7825000
"United States of America","Sheep","Head","1999",NA,7215000
"United States of America","Sheep","Head","2000",NA,7032000
"United States of America","Sheep","Head","2001",NA,6965000
"United States of America","Sheep","Head","2002",NA,6623000
"United States of America","Sheep","Head","2003",NA,6321000
"United States of America","Sheep","Head","2004",NA,6105000
"United States of America","Sheep","Head","2005",NA,6135000
"United States of America","Sheep","Head","2006",NA,6230000
"United States of America","Sheep","Head","2007",NA,6120000
"United States of America","Sheep","Head","2008",NA,5950000
"United States of America","Sheep","Head","2009",NA,5747000
